country_txt,nkill,nwound,regions,nkill_2013,nwound_2013,nkill_2016,nwound_2016,population_2016,kills_per_pop,kills_per_pop_2013,kills_per_pop_2016
Russia,300.0,461.0,Europe & Russia,148.0,288.0,64.0,61.0,144342396.0,0.5272186281291881,0.3020595556692851,0.08659964325380881
Rwanda,7.0,78.0,Africa & Middle East,6.0,62.0,0.0,0.0,11917508.0,0.7132363578023191,0.5705890862418553,0.0
Saudi Arabia,395.0,502.0,Africa & Middle East,1.0,2.0,161.0,196.0,32275687.0,2.7791817413522444,0.009294922211880415,1.1060957432137697
Senegal,14.0,8.0,Africa & Middle East,7.0,1.0,0.0,0.0,15411614.0,0.1427494874968968,0.05190890454432611,0.0
Sierra Leone,1.0,0.0,Africa & Middle East,0.0,0.0,1.0,0.0,7396190.0,0.013520474730908751,0.0,0.013520474730908751
Slovak Republic,0.0,1.0,Europe & Russia,0.0,0.0,0.0,1.0,5428704.0,0.01842060278106893,0.0,0.01842060278106893
Somalia,5176.0,3451.0,Africa & Middle East,646.0,597.0,1558.0,1275.0,14317996.0,60.25284544010209,8.681382506322812,19.786288528087308
South Africa,37.0,56.0,Africa & Middle East,2.0,5.0,21.0,11.0,55908865.0,0.16634213554505176,0.012520375793713574,0.0572360036284049
South Korea,0.0,1.0,Asia,0.0,0.0,0.0,0.0,51245707.0,0.0019513829714555406,0.0,0.0
South Sudan,1985.0,1043.0,Africa & Middle East,226.0,113.0,633.0,191.0,12230730.0,24.757312114648922,2.7717070035885016,6.7371285278965365
Spain,0.0,5.0,Europe & Russia,0.0,1.0,0.0,4.0,46443959.0,0.010765662763589985,0.0021531325527179967,0.008612530210871987
Sri Lanka,6.0,110.0,Asia,0.0,29.0,0.0,2.0,21203000.0,0.5470923925859549,0.13677309814648872,0.009432627458378532
Sudan,1158.0,1012.0,Africa & Middle East,220.0,150.0,182.0,213.0,39578828.0,5.482729301635713,0.9348432449793612,0.9980083290995884
Sweden,4.0,6.0,Europe & Russia,0.0,0.0,0.0,1.0,9903122.0,0.10097825715971187,0.0,0.010097825715971186
Switzerland,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,8372098.0,0.0,0.0,0.0
Syria,11543.0,10131.0,Africa & Middle East,1562.0,2237.0,2755.0,2936.0,18430453.0,117.59884577986229,20.61262411726939,30.878242656325373
Taiwan,0.0,0.0,Asia,0.0,0.0,0.0,0.0,23550077.0,0.0,0.0,0.0
Tajikistan,14.0,12.0,Asia,0.0,0.0,1.0,0.0,8734951.0,0.2976547893628711,0.0,0.011448261129341195
Tanzania,25.0,142.0,Africa & Middle East,8.0,83.0,3.0,2.0,55572201.0,0.30050996180626355,0.16375093727167653,0.008997304245696513
Thailand,683.0,2178.0,Asia,255.0,680.0,120.0,385.0,68863514.0,4.154594841035848,1.3577581881749456,0.7333346363939546
Trinidad and Tobago,0.0,0.0,North & Central America,0.0,0.0,0.0,0.0,1364962.0,0.0,0.0,0.0
Tunisia,242.0,239.0,Africa & Middle East,25.0,28.0,71.0,26.0,11403248.0,4.218096458131928,0.4647798592120421,0.8506348366710957
Turkey,1616.0,4156.0,Africa & Middle East,83.0,192.0,1004.0,2772.0,79512426.0,7.259242725155939,0.34585789144453977,4.748943265798482
Turkmenistan,3.0,2.0,Asia,0.0,0.0,0.0,0.0,5662544.0,0.0882995346261327,0.0,0.0
Uganda,177.0,36.0,Africa & Middle East,0.0,0.0,75.0,19.0,41487965.0,0.5134018985987864,0.0,0.226571729898056
Ukraine,2210.0,2669.0,Europe & Russia,1.0,3.0,48.0,39.0,45004645.0,10.841103179460696,0.008887971452724491,0.1933133790967577
United Arab Emirates,1.0,0.0,Africa & Middle East,0.0,0.0,0.0,0.0,9269612.0,0.010787938049618476,0.0,0.0
United Kingdom,14.0,111.0,Europe & Russia,4.0,64.0,9.0,20.0,65637239.0,0.19044067347196006,0.10359972636874626,0.04418223624549473
United States,154.0,632.0,North & Central America,23.0,436.0,68.0,139.0,323127513.0,0.24324762466141345,0.14204918539387887,0.06406139733449437
Uruguay,1.0,1.0,South America,0.0,0.0,1.0,1.0,3444006.0,0.05807190812094985,0.0,0.05807190812094985
Uzbekistan,0.0,0.0,Asia,0.0,0.0,0.0,0.0,31848200.0,0.0,0.0,0.0
Venezuela,11.0,78.0,South America,0.0,0.0,9.0,77.0,31568179.0,0.2819294708129981,0.0,0.2724262302237959
West Bank and Gaza Strip,286.0,484.0,Africa & Middle East,12.0,27.0,90.0,124.0,4551566.0,16.917254413096508,0.8568479507931996,4.701678499224223
Yemen,5861.0,6608.0,Africa & Middle East,624.0,898.0,1517.0,1340.0,27584213.0,45.203392244687215,5.517648808758836,10.357373618018393
Zimbabwe,1.0,1.0,Africa & Middle East,1.0,1.0,0.0,0.0,16150362.0,0.012383623351600415,0.012383623351600415,0.0
