PLAYER_ID,TEAM_ID,AGE,MIN,GP,MPG,REB,PTS,PLAYER_NAME,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,POSITION,PPG,RPG,TEAM_ABBREVIATION,DIVISION,CONFERENCE
203083,1610612765,23,2409.421667,81,29.74594651,1115,1105,Andre Drummond,11-Jun,83,C,13.6,13.8,DET,CNT,E
1627740,1610612765,20,146.2433333,19,7.697017542,41,60,Henry Ellenson,11-Jun,83,F,3.2,2.2,DET,CNT,E
2760,1610612744,34,91.86166667,14,6.561547619,27,18,Anderson Varejao,11-Jun,83,N,1.3,1.9,GSW,PAC,W
2585,1610612744,33,1268.3,70,18.11857143,410,426,Zaza Pachulia,11-Jun,83,C,6.1,5.9,GSW,PAC,W
2403,1610612745,34,1197.723333,67,17.87646766,282,609,Nene,11-Jun,83,C,9.1,4.2,HOU,SW,W
1626167,1610612754,21,2540.988333,81,31.37022633,589,1173,Myles Turner,11-Jun,83,C,14.5,7.3,IND,CNT,E
201599,1610612746,28,2570.331667,81,31.73248972,1114,1029,DeAndre Jordan,11-Jun,83,C,12.7,13.8,LAC,PAC,W
1627754,1610612746,20,24.255,7,3.465,6,10,Diamond Stone,11-Jun,83,C,1.4,0.9,LAC,PAC,W
203186,1610612748,27,1030.716667,71,14.51713615,332,374,Willie Reed,11-Jun,83,C,5.3,4.7,MIA,SE,E
203507,1610612749,22,2845.353333,80,35.56691666,700,1832,Giannis Antetokounmpo,11-Jun,83,F,22.9,8.8,MIL,CNT,E
202328,1610612749,27,1822.685,81,22.50228395,532,951,Greg Monroe,11-Jun,83,C,11.7,6.6,MIL,CNT,E
203089,1610612749,26,1122.526667,58,19.35390805,295,392,John Henson,11-Jun,83,F,6.8,5.1,MIL,CNT,E
202332,1610612750,28,531.045,62,8.565241935,158,105,Cole Aldrich,11-Jun,83,C,1.7,2.5,MIN,NW,W
203476,1610612750,27,2653.198333,82,32.35607723,647,816,Gorgui Dieng,11-Jun,83,C,10,7.9,MIN,NW,W
203076,1610612740,24,2707.713333,75,36.10284444,884,2099,Anthony Davis,11-Jun,83,F,28,11.8,NOP,SW,W
202326,1610612740,26,2465.363333,72,34.2411574,794,1942,DeMarcus Cousins,11-Jun,83,C,27,11,NOP,SW,W
201149,1610612752,32,1014.581667,46,22.0561232,403,232,Joakim Noah,11-Jun,83,C,5,8.8,NYK,ATL,E
1626195,1610612752,23,1324.393333,72,18.39435185,502,587,Willy Hernangomez,11-Jun,83,C,8.2,7,NYK,ATL,E
1627734,1610612760,21,1631.521667,81,20.1422428,288,479,Domantas Sabonis,11-Jun,83,C,5.9,3.6,OKC,NW,W
202683,1610612760,25,1532.835,72,21.289375,482,1033,Enes Kanter,11-Jun,83,C,14.3,6.7,OKC,NW,W
1626143,1610612755,21,1133.983333,50,22.67966666,240,590,Jahlil Okafor,11-Jun,83,C,11.8,4.8,PHI,ATL,E
201168,1610612755,32,75.96666667,8,9.495833334,22,39,Tiago Splitter,11-Jun,83,C,4.9,2.8,PHI,ATL,E
1627746,1610612758,21,611.605,33,18.53348485,162,289,Skal Labissiere,11-Jun,83,F,8.8,4.9,SAC,PAC,W
200746,1610612759,31,2335.011667,72,32.4307176,523,1243,LaMarcus Aldridge,11-Jun,83,F,17.3,7.3,SAS,SW,W
1627849,1610612764,23,74.90333333,19,3.942280702,22,24,Daniel Ochefu,11-Jun,83,F,1.3,1.2,WAS,SE,E
101133,1610612764,30,554.8016667,31,17.89682796,150,173,Ian Mahinmi,11-Jun,83,C,5.6,4.8,WAS,SE,E
101162,1610612764,33,2555.481667,82,31.16441057,849,883,Marcin Gortat,11-Jun,83,C,10.8,10.4,WAS,SE,E
201572,1610612751,29,2222.031667,75,29.62708889,403,1539,Brook Lopez,Jul-00,84,C,20.5,5.4,BKN,ATL,E
203120,1610612751,27,1176.513333,64,18.38302083,262,442,Justin Hamilton,Jul-00,84,C,6.9,4.1,BKN,ATL,E
203482,1610612738,26,1538.34,75,20.5112,361,678,Kelly Olynyk,Jul-00,84,C,9,4.8,BOS,ATL,E
203092,1610612738,27,524.5116667,51,10.28454248,124,178,Tyler Zeller,Jul-00,84,C,3.5,2.4,BOS,ATL,E
203469,1610612766,24,1725.471667,62,27.83018818,405,639,Cody Zeller,Jul-00,84,C,10.3,6.5,CHA,SE,E
1626163,1610612766,24,1954.015,75,26.05353333,336,874,Frank Kaminsky,Jul-00,84,F,11.7,4.5,CHA,SE,E
1627861,1610612766,22,25.18333333,2,12.59166667,3,2,Mike Tobey,Jul-00,84,N,1,1.5,CHA,SE,E
201577,1610612741,29,2270.723333,81,28.0336214,520,839,Robin Lopez,Jul-00,84,C,10.4,6.4,CHI,CNT,E
101106,1610612739,32,583.1833333,27,21.59938271,218,79,Andrew Bogut,Jul-00,84,C,2.9,8.1,CLE,CNT,E
1627773,1610612742,24,163.2316667,22,7.419621214,36,48,AJ Hammons,Jul-00,84,C,2.2,1.6,DAL,SW,W
1717,1610612742,39,1424.23,54,26.37462963,353,769,Dirk Nowitzki,Jul-00,84,F,14.2,6.5,DAL,SW,W
1627745,1610612744,22,85.08333333,10,8.508333333,23,19,Damian Jones,Jul-00,84,C,1.9,2.3,GSW,PAC,W
201580,1610612744,29,739.2833333,77,9.601082251,244,472,JaVale McGee,Jul-00,84,C,6.1,3.2,GSW,PAC,W
202355,1610612748,28,2513.493333,77,32.64277056,1088,1309,Hassan Whiteside,Jul-00,84,C,17,14.1,MIA,SE,E
1626157,1610612750,21,3030.396667,82,36.95605691,1007,2061,Karl-Anthony Towns,Jul-00,84,C,25.1,12.3,MIN,NW,W
202700,1610612740,26,478.685,34,14.07897059,101,150,Donatas Motiejunas,Jul-00,84,F,4.4,3,NOP,SW,W
201600,1610612740,30,482.1233333,31,15.55236559,163,85,Omer Asik,Jul-00,84,C,2.7,5.3,NOP,SW,W
1627850,1610612752,24,170.18,21,8.103809524,51,40,Marshall Plumlee,Jul-00,84,C,1.9,2.4,NYK,ATL,E
203500,1610612760,23,2389.4,80,29.8675,613,905,Steven Adams,Jul-00,84,C,11.3,7.7,OKC,NW,W
202696,1610612753,26,2162.851667,75,28.83802223,779,1096,Nikola Vucevic,Jul-00,84,C,14.6,10.4,ORL,SE,E
1627757,1610612753,20,107.76,19,5.671578947,35,23,Stephen Zimmerman,Jul-00,84,C,1.2,1.8,ORL,SE,E
203954,1610612755,23,786.0766667,31,25.35731183,243,627,Joel Embiid,Jul-00,84,C,20.2,7.8,PHI,ATL,E
203994,1610612757,22,1390.98,65,21.39969231,467,662,Jusuf Nurkic,Jul-00,84,C,10.2,7.2,POR,NW,W
201585,1610612758,28,1419.055,71,19.98669014,403,470,Kosta Koufos,Jul-00,84,C,6.6,5.7,SAC,PAC,W
1626161,1610612758,23,1420.79,75,18.94386667,339,611,Willie Cauley-Stein,Jul-00,84,C,8.1,4.5,SAC,PAC,W
203473,1610612759,27,1329.755,76,17.49677632,496,387,Dewayne Dedmon,Jul-00,84,C,5.1,6.5,SAS,SW,W
2200,1610612759,36,1626.701667,64,25.41721355,501,792,Pau Gasol,Jul-00,84,C,12.4,7.8,SAS,SW,W
1627751,1610612761,21,626.43,54,11.60055556,165,165,Jakob Poeltl,Jul-00,84,C,3.1,3.1,TOR,ATL,E
202685,1610612761,25,2065.708333,80,25.82135416,759,959,Jonas Valanciunas,Jul-00,84,C,12,9.5,TOR,ATL,E
203512,1610612761,24,1088.016667,57,19.0880117,244,253,Lucas Nogueira,Jul-00,84,C,4.4,4.3,TOR,ATL,E
203481,1610612762,27,432.3483333,51,8.4774183,121,146,Jeff Withey,Jul-00,84,C,2.9,2.4,UTA,NW,W
201160,1610612764,31,1067.743333,74,14.42896396,258,420,Jason Smith,Jul-00,84,F,5.7,3.5,WAS,SE,E
1627826,1610612747,20,608.4983333,38,16.01311403,159,284,Ivica Zubac,1-Jul,85,C,7.5,4.2,LAL,PAC,W
202389,1610612747,30,1103.86,54,20.44185185,264,401,Timofey Mozgov,1-Jul,85,C,7.4,4.9,LAL,PAC,W
201188,1610612763,32,2531.066667,74,34.20360361,464,1446,Marc Gasol,1-Jul,85,C,19.5,6.3,MEM,SW,W
201150,1610612749,29,797.0283333,54,14.75978395,191,337,Spencer Hawes,1-Jul,85,F,6.2,3.5,MIL,CNT,E
